Data,Anúncios comerciais (minutos),Tempo de anúncios (em seg.) por hora,Média de espectadores,Mensagens do chat,Participantes do chat,Visualiz. de clipes,Clipes criados,Seguidores,Espectadores de hospedagem e raids (%),Visualiz. ao vivo,Máximo de espectadores,Minutos assistidos,Minutos transmitidos,Espectadores únicos,Sub-receita,Renda com o Prime,Receita de inscrições de presente,Receita de inscrições de presente de múltiplos meses,Receita de Bits,Receita de anúncios,Receita das vendas de jogos,Receita de extensões,Receita de patrocínios,Receita de outras interações com Bits,Inscrições Prime,Total de inscrições pagas,Inscritos Grupo 1,Inscritos Grupo 2,Inscritos Grupo 3,Total de inscrições de presente,Inscrições Grupo 1 de presente,Total de inscrições de presente de múltiplos meses,Inscrições de presente de múltiplos meses do Grupo 1,Inscrições de presente de múltiplos meses do Grupo 2,Inscrições de presente de múltiplos meses do Grupo 3
Wed Jun 17 2020,24,354.1,9.29,783,25,5,3,1,0.84,157,15,2266,244,94,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 18 2020,15,163.14,8.82,1300,38,2,11,5,4.93,174,15,2920,331,108,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 19 2020,3,38.43,11.32,1881,28,4,3,2,0,143,23,3182,281,71,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 20 2020,27,370.99,9.06,1411,24,28,8,1,0,135,15,2373,262,79,0,1.75,0,0,0,0.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sun Jun 21 2020,27,332.88,8.41,906,22,11,4,2,16.32,127,13,2457,292,79,0,0,0,0,1.85,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 22 2020,18,208.36,11.71,1413,27,18,15,3,14.69,191,76,3655,311,141,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 23 2020,18,222.68,8.7,652,22,2,4,2,10.11,169,73,2533,291,117,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 24 2020,27,304.7,10.38,1205,25,2,7,0,4.35,131,15,3312,319,87,1,1.75,0,0,0,0.06,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Thu Jun 25 2020,12,225,9.94,888,20,0,5,1,3.51,101,15,1909,192,56,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 26 2020,9,279.31,9.57,398,28,0,0,4,17.38,100,45,1139,116,76,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 27 2020,0,0,8.97,988,25,0,2,7,6.58,193,20,2386,265,108,1.15,1.75,0,0,0,0.02,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Sun Jun 28 2020,0,0,7.31,1048,19,0,3,1,2.26,104,14,1550,210,65,0,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mon Jun 29 2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 30 2020,0,0,8.26,454,13,0,1,4,0,46,13,504,61,25,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 01 2020,0,0,8.13,1168,29,3,1,3,0.05,178,13,2186,268,87,1.15,0,0,0,0.5,0.01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Thu Jul 02 2020,6,99.54,8.83,573,23,6,3,15,0.1,127,15,1924,217,89,0,1.75,0,0,0,0.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fri Jul 03 2020,15,262.14,7.34,980,20,5,3,10,0,94,14,1513,206,62,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 04 2020,27,387.25,7.16,1300,22,4,3,7,0.11,144,15,1798,251,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 05 2020,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 06 2020,6,131.71,7.59,649,18,0,3,6,0.8,116,13,1244,164,83,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 07 2020,0,0,8.52,146,20,0,1,3,5.33,43,16,375,44,31,0,3.5,0,0,0,0.01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Wed Jul 08 2020,0,0,5.76,487,19,0,2,6,0,84,11,922,161,43,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 09 2020,0,0,8.95,554,29,0,0,16,11.76,188,51,1701,197,114,0,0,0,0,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 10 2020,9,162.81,5.66,525,21,0,1,3,0.53,161,16,1131,199,68,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 11 2020,15,461.54,5.84,403,14,8,1,2,11.42,90,10,683,117,25,0,1.75,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sun Jul 12 2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 13 2020,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 14 2020,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 15 2020,0,0,13.2,460,34,0,0,5,18,130,24,1267,96,71,0,1.75,0,0,0,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thu Jul 16 2020,0,0,9.2,581,37,6,1,9,5.76,185,45,2429,264,110,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 17 2020,0,0,6.78,445,17,0,0,1,6.2,92,15,1193,176,53,0,1.75,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sat Jul 18 2020,0,0,7.45,475,12,7,8,0,3.87,51,10,1215,163,33,1.51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sun Jul 19 2020,0,0,5.4,462,17,2,6,2,0,56,10,886,164,33,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 20 2020,0,0,7.18,623,25,13,7,3,0.13,116,14,1550,216,71,1.17,1.75,0,0,2.5,0.01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Tue Jul 21 2020,0,0,9.47,736,29,2,3,4,2.69,176,20,2377,251,99,0,0,0,0,0.4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 22 2020,0,0,6.6,2836,25,0,2,2,4.67,120,15,1564,236,64,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 23 2020,0,0,9.75,1970,30,7,7,4,11.31,177,35,2574,264,80,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 24 2020,0,0,12.77,473,29,37,3,5,18.54,196,49,2120,166,130,1,0,0,0,0,0.01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sat Jul 25 2020,0,0,12.32,493,27,4,4,4,3.98,95,17,1306,106,55,1.09,5.24,0,0,0,0.02,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0
Sun Jul 26 2020,0,0,15.18,497,16,2,5,6,0.19,119,20,2140,141,95,0,3.5,0,0,0,0.01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Mon Jul 27 2020,0,0,6.3,560,16,0,0,2,0,67,14,1077,171,40,1.2,0,0,0,0,0.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tue Jul 28 2020,1,10.56,61.1,1229,42,3,1,24,68.48,1323,755,20835,341,1078,0,1.75,0,0,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wed Jul 29 2020,0,0,5.87,323,24,0,1,4,0.88,127,11,1357,230,68,0,0,0,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
